"","Date","Time","Latitude","Longitude","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status"
"566","12/20/1966","15:30:01",37.3021667,-116.4083333,"Nuclear Explosion",1.2,31.61,16,5.62,"ML",0.245,10,261,1.476,99,0.86,"CI3329931","CI","CI","CI","Reviewed"
"891","04/09/1968","02:29:00",33.1798333,-116.103,"Earthquake",10,31.61,15,6.6,"MW",NA,0,128,0.6012,0.88,0.33,"CI3329122","CI","CI","CI","Reviewed"
"898","04/26/1968","15:00:02",37.2953333,-116.4556667,"Nuclear Explosion",1.2,31.61,17,5.63,"ML",0.125,6,261,1.438,99,1.03,"CI3342128","CI","CI","CI","Reviewed"
"1130","12/19/1968","16:30:01",37.2315,-116.4736667,"Nuclear Explosion",1.4,31.61,16,5.52,"ML",0.219,6,257,1.415,99,1.36,"CI3342181","CI","CI","CI","Reviewed"
"1381","09/16/1969","14:30:01",37.3141667,-116.4606667,"Nuclear Explosion",1.2,31.61,13,5.82,"ML",0.187,8,268,1.437,99,0.33,"CI3326197","CI","CI","CI","Reviewed"
"1533","03/26/1970","19:00:01",37.3005,-116.5341667,"Nuclear Explosion",1.2,31.61,16,5.54,"ML",0.41,10,260,1.377,99,0.35,"CI3325031","CI","CI","CI","Reviewed"
"1849","02/09/1971","14:01:12",34.416,-118.37,"Earthquake",6,NA,0,5.8,"MH",NA,0,328.5,0.3136,NA,0.324,"CI3360255","CI","CI","CI","Reviewed"
"1850","02/09/1971","14:02:46",34.416,-118.37,"Earthquake",6,NA,0,5.8,"MH",NA,0,360,0.3136,NA,0.005,"CI3360245","CI","CI","CI","Reviewed"
"2724","06/06/1973","13:00:01",37.245,-116.346,"Nuclear Explosion",1.1,31.61,17,5.64,"ML",0.155,8,259,1.517,99,0.55,"CI3319623","CI","CI","CI","Reviewed"
"3308","11/22/1974","16:25:34",30.25,-114.8,"Earthquake",6,31.61,20,5.55,"ML",0.055,4,312,2.641,99,3.22,"CI3319062","CI","CI","CI","Reviewed"
"3517","06/26/1975","12:30:01",37.2788333,-116.3686667,"Nuclear Explosion",6,31.61,19,5.52,"ML",0.341,13,260,1.504,99,3.44,"CI12328563","CI","CI","CI","Reviewed"
"3571","08/01/1975","20:20:05",39.4321667,-121.5458333,"Earthquake",4.388,1.45,27,5.7,"ML",NA,0,116,0.127,0.35,0.07,"NC1024998","NC","NC","NC","Reviewed"
"3674","10/28/1975","14:30:00",37.2901667,-116.4115,"Nuclear Explosion",1.3,31.61,19,5.67,"ML",0.302,8,260,1.472,99,2.75,"CI3006257","CI","CI","CI","Reviewed"
"3755","01/03/1976","19:15:01",37.2965,-116.3331667,"Nuclear Explosion",1.5,31.61,20,5.84,"ML",0.123,8,261,1.534,99,0.44,"CI3001652","CI","CI","CI","Reviewed"
"4170","11/26/1976","11:19:32",41.0351667,-124.9496667,"Earthquake",41.78,5.3,13,6.3,"ML",NA,0,318,0.6577,8.57,0.09,"NC1032447","NC","NC","NC","Reviewed"
"5237","08/06/1979","17:05:23",37.1038333,-121.5123333,"Earthquake",8.315,0.36,95,5.8,"ML",NA,0,97,0.05225,0.15,0.06,"NC1046962","NC","NC","NC","Reviewed"
"5305","10/16/1979","06:58:43",32.9986667,-115.5575,"Earthquake",14.19,1.78,7,5.8,"ML",NA,0,79,0.05768,1.03,0.17,"CI3310205","CI","CI","CI","Reviewed"
"5524","05/18/1980","15:32:11",46.2073333,-122.188,"Earthquake",1.51,0.56,18,5.7,"MD",0.08,1,62,0.008296,0.682,0.22,"UW10084803","UW","UW","UW","Reviewed"
"5530","05/25/1980","16:33:44",37.5903333,-118.831,"Earthquake",6.806,1.44,11,6.1,"ML",NA,0,159,0.004505,1.71,0.15,"NC1053043","NC","NC","NC","Reviewed"
"5531","05/25/1980","16:49:27",37.6768333,-118.8996667,"Earthquake",6.686,2.52,42,6,"ML",NA,0,55,0.06126,1.99,1.35,"NC1053045","NC","NC","NC","Reviewed"
"5533","05/25/1980","19:44:51",37.5538333,-118.807,"Earthquake",11.856,1.37,7,6.1,"ML",NA,0,191,0.03964,1.82,0.1,"NC1053054","NC","NC","NC","Reviewed"
"5534","05/25/1980","20:35:48",37.6186667,-118.8348333,"Earthquake",4.833,3.79,4,5.7,"ML",NA,0,182,0.005405,1.65,0.04,"NC1053058","NC","NC","NC","Reviewed"
"5536","05/26/1980","18:57:56",37.5206667,-118.8761667,"Earthquake",2.063,1.08,12,5.7,"ML",NA,0,211,0.08018,0.49,0.03,"NC1053105","NC","NC","NC","Reviewed"
"5539","05/27/1980","14:50:57",37.5033333,-118.8055,"Earthquake",13.795,0.45,19,6.2,"ML",NA,0,183,0.04685,0.71,0.12,"NC1053177","NC","NC","NC","Reviewed"
"5546","06/09/1980","03:28:19",32.1998333,-115.1221667,"Earthquake",6,31.61,16,6.3,"MW",NA,0,233,0.5968,4.51,0.62,"CI9730174","CI","CI","CI","Reviewed"
"5632","09/07/1980","04:36:38",38.1383333,-118.3913333,"Earthquake",6,31.61,5,5.52,"ML",0.206,12,333,1.09,8.02,0.33,"CI9735242","CI","CI","CI","Reviewed"
"5979","09/30/1981","11:53:26",37.5838333,-118.8645,"Earthquake",3.126,0.49,18,5.9,"ML",NA,6,83,0.03243,0.27,0.07,"NC1068066","NC","NC","NC","Reviewed"
"6567","05/02/1983","23:42:38",36.2316667,-120.312,"Earthquake",9.578,0.24,64,6.7,"ML",NA,0,137,0.03063,0.28,0.07,"NC1091100","NC","NC","NC","Reviewed"
"6705","08/24/1983","13:36:29",40.372,-124.9245,"Earthquake",11.188,2.18,41,5.5,"ML",NA,0,257,0.4604,1.65,0.14,"NC1100970","NC","NC","NC","Reviewed"
"6844","12/20/1983","10:41:02",40.408,-125.6465,"Earthquake",8.126,20.61,86,5.66,"ML",NA,7,287,1.066,3.82,0.23,"NC1108755","NC","NC","NC","Reviewed"
"7004","04/24/1984","21:15:19",37.3096667,-121.6788333,"Earthquake",8.193,0.31,101,6.2,"ML",NA,0,26,0.05135,0.11,0.06,"NC17204","NC","NC","NC","Reviewed"
"7172","09/10/1984","03:14:28",40.5038333,-125.1303333,"Earthquake",4.333,23.2,56,6.6,"ML",NA,0,262,0.6063,14.3,1.18,"NC27615","NC","NC","NC","Reviewed"
"7296","11/23/1984","18:08:25",37.4596667,-118.6071667,"Earthquake",8.096,0.84,31,6.1,"ML",NA,0,66,0.1135,0.39,0.08,"NC32321","NC","NC","NC","Reviewed"
"7298","11/23/1984","19:12:35",37.4321667,-118.6071667,"Earthquake",10.516,0.68,47,5.5,"ML",NA,8,80,0.02613,0.25,0.06,"NC32650","NC","NC","NC","Reviewed"
"7301","11/26/1984","16:21:41",37.4473333,-118.6476667,"Earthquake",5.955,1.24,35,5.6,"ML",NA,0,125,0.09009,0.34,0.05,"NC39753","NC","NC","NC","Reviewed"
"7636","08/04/1985","12:01:56",36.143,-120.1563333,"Earthquake",15.89,0.55,45,5.6,"ML",NA,0,163,0.09009,0.27,0.08,"NC52348","NC","NC","NC","Reviewed"
"7850","01/26/1986","19:20:51",36.8043333,-121.285,"Earthquake",8.153,0.21,91,5.5,"ML",NA,8,27,0.05946,0.12,0.05,"NC64626","NC","NC","NC","Reviewed"
"7921","03/31/1986","11:55:40",37.4791667,-121.6866667,"Earthquake",8.502,0.41,87,5.7,"ML",NA,6,65,0.02703,0.13,0.06,"NC68932","NC","NC","NC","Reviewed"
"8093","07/20/1986","14:29:45",37.5666667,-118.4381667,"Earthquake",5.044,0.85,41,5.9,"ML",NA,7,54,0.08108,0.19,0.04,"NC99451","NC","NC","NC","Reviewed"
"8097","07/21/1986","14:42:26",37.538,-118.4428333,"Earthquake",8.804,0.77,42,6.4,"ML",NA,7,55,0.09369,0.22,0.06,"NC10085763","NC","NC","NC","Reviewed"
"8099","07/21/1986","14:51:09",37.4931667,-118.4538333,"Earthquake",8.482,1.28,28,5.7,"ML",NA,6,198,0.1126,0.71,0.04,"NC10085764","NC","NC","NC","Reviewed"
"8100","07/21/1986","22:07:16",37.6213333,-118.3425,"Earthquake",-0.076,7.22,18,5.6,"ML",NA,6,296,0.2495,3,0.05,"NC95459","NC","NC","NC","Reviewed"
"8112","07/31/1986","07:22:40",37.4731667,-118.3686667,"Earthquake",5.754,0.63,45,5.8,"ML",NA,7,81,0.05405,0.26,0.07,"NC78895","NC","NC","NC","Reviewed"
"8620","07/31/1987","23:56:58",40.4156667,-124.3826667,"Earthquake",16.895,0.21,20,5.6,"ML",NA,4,243,0.06937,0.84,0.06,"NC10083966","NC","NC","NC","Reviewed"
"9665","10/18/1989","00:04:15",37.0361667,-121.8798333,"Earthquake",17.214,0.31,84,6.9,"MH",NA,0,89,0.008108,0.21,0.08,"NC216859","NC","NC","NC","Reviewed"
"10209","10/24/1990","06:15:20",38.0618333,-119.1191667,"Earthquake",10.903,0.32,124,5.8,"ML",NA,0,173,0.3577,0.23,0.13,"NC20092556","NC","NC","NC","Reviewed"
"10582","08/16/1991","22:26:14",41.6611667,-125.8455,"Earthquake",2.549,12.76,119,6.1,"ML",NA,0,296,1.461,2.18,0.12,"NC227958","NC","NC","NC","Reviewed"
"10584","08/17/1991","19:29:40",40.2516667,-124.2858333,"Earthquake",8.32,0.41,32,6,"ML",NA,0,196,0.1063,0.36,0.09,"NC228027","NC","NC","NC","Reviewed"
"10585","08/17/1991","22:17:10",41.679,-125.856,"Earthquake",1.303,11.06,90,7,"MH",NA,0,295,1.473,1.73,0.09,"NC228064","NC","NC","NC","Reviewed"
"10870","04/25/1992","18:06:05",40.3353333,-124.2286667,"Earthquake",9.856,0.64,9,7.2,"MH",NA,0,115,0.1072,0.33,0.07,"NC269151","NC","NC","NC","Reviewed"
"10872","04/26/1992","07:41:40",40.4325,-124.566,"Earthquake",18.824,0.34,34,6.45,"MW",NA,1,248,0.1802,1.31,0.12,"NC268031","NC","NC","NC","Reviewed"
"10873","04/26/1992","11:18:26",40.3828333,-124.555,"Earthquake",21.713,0.35,25,6.57,"MW",NA,1,247,0.1901,1.09,0.07,"NC268078","NC","NC","NC","Reviewed"
"11372","03/25/1993","13:34:35",45.0351667,-122.6065,"Earthquake",19.608,2.84,40,5.6,"MD",NA,2,67,0.2067,0.934,0.39,"UW10306313","UW","UW","UW","Reviewed"
"11757","01/17/1994","12:31:58",34.275,-118.493,"Earthquake",5.317,NA,0,5.89,"ML",NA,4,142.2,0.2557,NA,0.494,"CI3149646","CI","CI","CI","Reviewed"
"12078","09/01/1994","15:15:48",40.4055,-126.3028333,"Earthquake",4.972,2.33,271,7,"MW",NA,3,271,1.504,2.04,0.34,"NC30056327","NC","NC","NC","Reviewed"
"12330","02/19/1995","04:03:15",40.5918333,-125.7566667,"Earthquake",4.622,6.05,180,6.6,"MW",NA,3,273,1.089,2.58,0.27,"NC30068187","NC","NC","NC","Reviewed"
"13118","07/24/1996","20:15:41",41.9086667,-126.2343333,"Earthquake",1.559,13.36,76,5.7,"MW",NA,5,270,1.602,1.23,0.13,"NC30114284","NC","NC","NC","Reviewed"
"13397","01/22/1997","07:17:17",40.2736667,-124.3791667,"Earthquake",23.007,0.49,27,5.6,"MW",NA,3,217,0.06036,0.94,0.08,"NC492079","NC","NC","NC","Reviewed"
"13692","10/04/1997","10:57:34",41.0528333,-125.3433333,"Earthquake",6.792,14.89,144,5.5,"MW",NA,4,245,0.9586,0.93,0.15,"NC524039","NC","NC","NC","Reviewed"
"14378","05/15/1999","13:22:11",37.5296667,-118.8171667,"Earthquake",2.934,0.51,31,5.5,"MW",NA,6,112,0.05495,0.25,0.04,"NC21014765","NC","NC","NC","Reviewed"
"14769","03/16/2000","15:19:56",40.3886667,-125.2385,"Earthquake",4.803,2.3,158,5.7,"MW",NA,4,228,0.6946,1.5,0.29,"NC21086915","NC","NC","NC","Reviewed"
"15644","12/08/2001","23:36:10",31.9976667,-115.0016667,"Earthquake",6.981,28,12,5.7,"MW",NA,6,261.5,0.6721,4.65,0.3,"CI9732601","CI","CI","CI","Reviewed"
"15734","02/22/2002","19:32:42",32.3188333,-115.3215,"Earthquake",7.007,31.95,20,5.7,"MW",NA,0,217.5,0.4751,2.44,0.38,"CI12456384","CI","CI","CI","Reviewed"
"16570","12/22/2003","19:15:56",35.7005,-121.1005,"Earthquake",8.382,0.6,65,6.5,"MW",NA,4,71,0.04685,0.16,0.07,"NC21323712","NC","NC","NC","Reviewed"
"16946","09/28/2004","17:15:24",35.8181667,-120.366,"Earthquake",8.136,0.25,61,5.97,"MW",NA,4,26,0.01622,0.14,0.04,"NC30228270","NC","NC","NC","Reviewed"
"18877","02/21/2008","14:16:03",41.1444,-114.8721,"Earthquake",7.9,1.9,18,6.2,"ML",0.15,4,95.21,0.318,1.61,0.1855,"NN00234425","NN","NN","NN","Reviewed"
"19834","12/30/2009","18:48:57",32.464,-115.1891667,"Earthquake",5.971,31.61,19,5.8,"MW",NA,7,205,0.324,1.83,0.39,"CI14565620","CI","CI","CI","Reviewed"
"19855","01/10/2010","00:27:39",40.652,-124.6925,"Earthquake",28.737,1.31,51,6.5,"MW",NA,8,220,0.3225,0.55,0.2,"NC71338066","NC","NC","NC","Reviewed"
"19898","02/04/2010","20:20:22",40.4123333,-124.9613333,"Earthquake",23.048,7.41,41,5.88,"MW",NA,7,233,0.4802,1.42,0.19,"NC71348851","NC","NC","NC","Reviewed"
"20036","04/04/2010","22:40:42",32.2861667,-115.2953333,"Earthquake",9.987,31.61,10,7.2,"MW",NA,0,239,0.5137,1.81,0.11,"CI14607652","CI","CI","CI","Reviewed"
"20037","04/04/2010","22:50:17",32.0986667,-115.0481667,"Earthquake",10.011,31.61,5,5.7,"MW",NA,4,296,0.7811,3.14,0.33,"CI31957759","CI","CI","CI","Reviewed"
"20123","06/15/2010","04:26:58",32.705,-115.9113333,"Earthquake",8.756,0.83,45,5.72,"MW",NA,7,71,0.05832,0.41,0.2,"CI14745580","CI","CI","CI","Reviewed"
"21765","05/24/2013","03:47:08",40.1918,-121.0595,"Earthquake",9.7,0.7,NA,5.7,"MW",NA,5,68.4,0.08084838,0.3,0.08,"NC71996906","NC","NC","NC","Reviewed"
"21841","08/01/2013","20:01:43",-15.2443,-173.5006,"Earthquake",31.65,3.1,NA,6,"MWW",NA,NA,38,2.132,NA,0.67,"USB000ITMF","US","US","US","Reviewed"
"21842","08/04/2013","03:28:51",38.2133,141.8621,"Earthquake",56,1.7,NA,5.8,"MWW",NA,NA,18,3.355,NA,0.67,"USB000IV4W","US","US","US","Reviewed"
"21843","08/04/2013","13:22:28",49.6614,-127.4286,"Earthquake",10,1.7,NA,5.5,"MWB",0.071,NA,33,2.563,NA,0.69,"USB000IV7T","US","US","US","Reviewed"
"21844","08/04/2013","15:56:35",46.9925,145.2582,"Earthquake",375.01,3.2,NA,5.8,"MWW",NA,NA,10,1.71,NA,0.73,"USB000IV94","US","US","US","Reviewed"
"21845","08/06/2013","05:57:43",14.1526,-91.5958,"Earthquake",53.88,4,NA,5.6,"MWB",0.045,NA,55,0.991,NA,1.11,"USB000IW7Z","US","US","US","Reviewed"
"21846","08/06/2013","10:41:31",-22.5035,173.8052,"Earthquake",10.04,1.7,NA,5.8,"MWW",NA,NA,67,5.454,NA,0.84,"USB000IWAZ","US","US","US","Reviewed"
"21847","08/06/2013","16:46:18",-16.8575,167.3184,"Earthquake",10,1.7,NA,5.7,"MWW",NA,NA,54,4.647,NA,1.29,"USB000IWI8","US","US","US","Reviewed"
"21848","08/06/2013","17:21:56",-16.9065,167.373,"Earthquake",13.54,3.2,NA,5.7,"MWW",NA,NA,27,4.592,NA,1.28,"USB000IWJV","US","US","US","Reviewed"
"21849","08/11/2013","21:23:41",30.0464,97.9565,"Earthquake",6,1,NA,5.7,"MWW",NA,NA,12,5.94,NA,0.94,"USB000J0T5","US","US","US","Reviewed"
"21850","08/12/2013","00:53:44",-7.1354,129.8088,"Earthquake",95,1.8,NA,6,"MWW",NA,NA,13,1.7,NA,0.68,"USB000J0VL","US","US","US","Reviewed"
"21851","08/12/2013","04:16:48",-30.6285,-179.678,"Earthquake",340.6,3.9,NA,6.1,"MWW",NA,NA,21,7.116,NA,1.01,"USB000J0YL","US","US","US","Reviewed"
"21852","08/12/2013","05:18:59",10.4577,-86.9354,"Earthquake",22.31,3.6,NA,5.5,"MWC",NA,NA,49,1.957,NA,0.92,"USB000J0ZB","US","US","US_GCMT","Reviewed"
"21853","08/12/2013","09:49:32",-5.3962,-81.9268,"Earthquake",10,1.7,NA,6.2,"MWW",NA,NA,26,3.913,NA,1.27,"USB000J10U","US","US","US","Reviewed"
"21854","08/12/2013","18:03:33",-56.5243,-142.3211,"Earthquake",10,1.8,NA,5.7,"MWW",NA,NA,64,33.635,NA,1.26,"USB000J25K","US","US","US","Reviewed"
"21855","08/13/2013","15:43:15",5.7732,-78.1999,"Earthquake",12,1.7,NA,6.7,"MWW",NA,NA,22,3.741,NA,0.84,"USB000J275","US","US","US","Reviewed"
"21860","08/17/2013","16:32:31",-34.8853,54.0927,"Earthquake",10,1.8,NA,6.1,"MWW",NA,NA,22,14.84,NA,0.83,"USB000J5KI","US","US","US","Reviewed"
"21861","08/21/2013","04:43:18",-22.2977,171.6697,"Earthquake",92,1.6,NA,5.7,"MWW",NA,NA,66,3.476,NA,1.21,"USB000J7ZM","US","US","US","Reviewed"
"21862","08/21/2013","12:38:30",16.8784,-99.498,"Earthquake",21,1.7,NA,6.2,"MWW",NA,NA,45,0.755,NA,1,"USB000J83T","US","US","US","Reviewed"
"21863","08/23/2013","08:34:07",-22.2741,-68.5927,"Earthquake",111,1.8,NA,5.8,"MWW",NA,NA,35,0.447,NA,1.13,"USB000JAF4","US","US","US","Reviewed"
"21864","08/24/2013","08:40:28",-22.5179,-175.2417,"Earthquake",5,1.8,NA,5.8,"MWW",NA,NA,45,9.172,NA,0.93,"USB000JB6E","US","US","US","Reviewed"
"21865","08/25/2013","16:07:15",-33.4611,57.0446,"Earthquake",4.73,3.1,NA,5.8,"MWW",NA,NA,61,12.297,NA,0.71,"USB000JBNG","US","US","US","Reviewed"
"21866","08/28/2013","02:54:41",-27.7829,179.6335,"Earthquake",478,1.6,NA,6.2,"MWW",NA,NA,22,2.592,NA,1.01,"USB000JCFU","US","US","US","Reviewed"
"21867","08/29/2013","13:52:27",-19.3503,-179.136,"Earthquake",662.37,3.9,NA,5.7,"MWW",NA,NA,33,8.705,NA,0.97,"USB000JD4N","US","US","US","Reviewed"
"21868","08/30/2013","02:11:02",-4.4412,151.6112,"Earthquake",203,1.8,NA,5.8,"MWW",NA,NA,15,0.604,NA,0.69,"USB000JDLN","US","US","US","Reviewed"
"21869","08/30/2013","16:25:02",51.537,-175.2297,"Earthquake",29,1.8,NA,7,"MWW",NA,NA,53,0.624,NA,0.89,"USB000JDT7","US","US","US","Reviewed"
"21871","08/31/2013","00:04:18",28.2425,99.3502,"Earthquake",8,1.7,NA,5.6,"MWW",NA,NA,20,4.341,NA,0.83,"USB000JE5N","US","US","US","Reviewed"
"21872","08/31/2013","06:38:36",51.2381,-174.9407,"Earthquake",18,1.7,NA,6,"MWW",NA,NA,70,0.968,NA,1.17,"USB000JE9F","US","US","US","Reviewed"
