"","Date","Time","Latitude","Longitude","Type","Depth","Magnitude","Magnitude.Type","ID","Source","Location.Source","Magnitude.Source","Status","latlong"
"1","01/02/1965","13:44:18",19.246,145.616,"Earthquake",131.6,6,"MW","ISCGEM860706","ISCGEM","ISCGEM","ISCGEM","Automatic","19.246, 145.616"
"2","01/04/1965","11:29:49",1.863,127.352,"Earthquake",80,5.8,"MW","ISCGEM860737","ISCGEM","ISCGEM","ISCGEM","Automatic","1.863, 127.352"
"3","01/05/1965","18:05:58",-20.579,-173.972,"Earthquake",20,6.2,"MW","ISCGEM860762","ISCGEM","ISCGEM","ISCGEM","Automatic","-20.579, -173.972"
"4","01/08/1965","18:49:43",-59.076,-23.557,"Earthquake",15,5.8,"MW","ISCGEM860856","ISCGEM","ISCGEM","ISCGEM","Automatic","-59.076, -23.557"
"5","01/09/1965","13:32:50",11.938,126.427,"Earthquake",15,5.8,"MW","ISCGEM860890","ISCGEM","ISCGEM","ISCGEM","Automatic","11.938, 126.427"
"6","01/10/1965","13:36:32",-13.405,166.629,"Earthquake",35,6.7,"MW","ISCGEM860922","ISCGEM","ISCGEM","ISCGEM","Automatic","-13.405, 166.629"
"7","01/12/1965","13:32:25",27.357,87.867,"Earthquake",20,5.9,"MW","ISCGEM861007","ISCGEM","ISCGEM","ISCGEM","Automatic","27.357, 87.867"
"8","01/15/1965","23:17:42",-13.309,166.212,"Earthquake",35,6,"MW","ISCGEM861111","ISCGEM","ISCGEM","ISCGEM","Automatic","-13.309, 166.212"
"9","01/16/1965","11:32:37",-56.452,-27.043,"Earthquake",95,6,"MW","ISCGEMSUP861125","ISCGEMSUP","ISCGEM","ISCGEM","Automatic","-56.452, -27.043"
"10","01/17/1965","10:43:17",-24.563,178.487,"Earthquake",565,5.8,"MW","ISCGEM861148","ISCGEM","ISCGEM","ISCGEM","Automatic","-24.563, 178.487"
